,name,addr,letter,deputy,punish,law,genre,genre2,basis,subtance,gear,date,time,status
50,大连永磊石业有限公司,辽宁省庄河市太平岭乡青林村,91210283594406357C	,王善平,"（辽）统法罚字〔,2019,〕第,23,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款,"警告并罚款,30000,元",辽宁省统计局,20190514,2019051420200513	,正常
51,富源县后所镇打厂沟煤矿,富源县后所镇庆云村委会旧云村,	,陈洪瑞,"曲统罚字（,2019,）第,5,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,51000,元",曲靖市统计局,2019422,20194222020421	,正常
52,富源县东振选煤有限责任公司,富源县后所镇庆云村,91530325622751335G	,陈洪瑞,"曲统罚字（,2019,）第,6,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,52000,元",曲靖市统计局,2019422,20194222020421	,正常
53,富源县胜达选煤有限公司,云南省曲靖市富源县胜境街道海田社区大窑山,91530325775527457M	,叶学文,"曲统罚字（,2019,）第,7,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,54000,元",曲靖市统计局,2019422,20194222020421	,正常
54,富源县营上镇大坪煤矿,富源县营上镇大坪村委会赵马田,91530325217311045N	,耿光旭,"曲统罚字（,2019,）第,8,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
55,富源县营上镇得戛煤矿有限公司,云南省曲靖市富源县营上镇得戛村委会取额村,91530325695663715R	,李建岭,"曲统罚字（,2019,）第,9,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
56,富源县补木戛煤业有限公司,云南省曲靖市富源县大河镇挑担村,91530325064269965T	,胡绍英,"曲统罚字（,2019,）第,10,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
57,富源县大河镇核桃冲煤矿,富源县大河镇恩乐村委会核桃冲,	,罗文祥,"曲统罚字（,2019,）第,11,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
58,富源县营上镇兴富煤矿,富源县营上镇海丹村,	,赵立雄,"曲统罚字（,2019,）第,12,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
59,富源县营上镇鲁金银煤矿,云南省曲靖市富源县营上镇那当村,	,方和盛,"曲统罚字（,2019,）第,13,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项和第二款,"警告并处罚款,55000,元",曲靖市统计局,2019422,20194222020421	,正常
