,name,addr,letter,deputy,punish,law,genre,genre2,basis,subtance,gear,date,time,status
27,兰州世纪鑫源实业有限公司,"甘肃省兰州市西固区环行西路,6,号",9162010055129480XH	,李建凡,"甘统行决字〔,2019,〕,3,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款陆万元整,甘肃省统计局,201985,201989202088	,正常
28,,,	,,,,,,,,,,	,
29,甘肃建投建材有限公司,"甘肃省兰州市西固区环行中路,163,号",916200002243705883	,饶益杰,"甘统行决字〔,2019,〕,1,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条,警告并罚款捌万元整,甘肃省统计局,201985,201988202087	,正常
30,大安市北方石油销售有限公司,吉林省白城市大安市古城乡长庆村公路西侧,912208823399849340	,任立国,"吉统罚决字〔,2019,〕第,128,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019613,20196132020612	,正常
31,大安市洵佶粮贸有限责任公司,吉林省白城市大安市两家子镇同庆村东港屯,91220882097005886M	,修艳辉,"吉统罚决字〔,2019,〕第,127,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019613,20196132020612	,正常
32,长春市德益食品有限公司,长春市绿园区合心镇三间村东伊通河屯,91220106L481462399	,张德林,"吉统罚决字〔,2019,〕第,27,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款、第二款和《中华人民共和国统计法实施条例》第五十条,警告并处以伍万元罚款,吉林省统计局,2019524,20195242020523	,正常
33,广西海天建设工程有限责任公司,"灵山县灵城镇七星路,22,号",91450721564018644N	,姚能振,"桂统罚字〔,2019,〕,3,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第二项,"责令改正，给予警告，在全区范围内予以通报，并处,100000,元罚款。",广西壮族自治区统计局,2019829,20198292020828	,正常
34,白城市蓝琦米业有限公司,"白城市沙坑北路,181,号",91220802744588978P	,齐永海,"国统执罚决字〔,2019,〕第,283,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾万元,国家统计局,201996,201996202095	,正常
35,白城艾高食品有限公司,白城市洮北区平安镇新合村,91220802584616385W	,田延灼,"国统执罚决字〔,2019,〕第,281,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万伍千元,国家统计局,201996,201996202095	,正常
36,通榆县新双杰果品有限公司,吉林省通榆县开通镇繁荣街富强路（医药大楼）,91220822077098405X	,庞秀纯,"国统执罚决字〔,2019,〕第,299,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款拾壹万伍千元,国家统计局,201996,201996202095	,正常
37,铜陵金蜗牛艺术品有限公司,"安徽省铜陵市铜陵开发区泰山大道南段,666,号",91340700771149073K(11)	,吴伟,"国统执罚决字〔,2019,〕第,310,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处壹拾壹万元,国家统计局,201996,201996202095	,正常
38,安徽中熹通讯科技有限责任公司,安徽省铜陵市狮子山经济开发区,9134070058610946J(11)	,周铮,"国统执罚决字〔,2019,〕第,309,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万元,国家统计局,201996,201996202095	,正常
39,铜陵市新洲电子科技有限责任公司,安徽省铜陵市狮子山区经济开发区,91340700590194633B(11)	,程新亚,"国统执罚决字〔,2019,〕第,306,号",提供不真实统计资料,警告,罚款,《中华人民共和国统计法》第四十一条第一款第（二）项、第二款、《中华人民共和国统计法实施条例》第五十条第（三）项,警告并处罚款壹拾壹万元,国家统计局,201996,201996202095	,正常
